policy,minutes,stage,cash,net_income_per_min,sustained_income_per_min,customers_served,upgrades,employees
greedy-cheapest,0.00,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,0.50,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,1.00,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,1.50,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,2.00,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,2.50,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,3.00,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,3.50,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,4.00,1,3.90,9.904,0.000,3,1,0
greedy-cheapest,4.50,1,7.80,18.074,0.000,6,2,0
greedy-cheapest,5.00,1,8.42,16.809,0.000,9,3,0
greedy-cheapest,5.50,1,3.61,14.351,0.000,11,4,0
greedy-cheapest,6.00,1,1.04,15.615,0.000,13,5,0
greedy-cheapest,6.50,1,14.20,16.880,0.000,16,5,0
greedy-cheapest,7.00,1,26.09,25.049,0.000,19,5,0
greedy-cheapest,7.50,1,32.27,12.363,0.000,21,5,0
greedy-cheapest,8.00,1,41.71,15.615,0.000,23,5,0
greedy-cheapest,8.50,1,53.13,20.856,0.000,25,5,0
greedy-cheapest,9.00,1,64.23,22.520,0.000,29,5,0
greedy-cheapest,9.50,1,73.66,18.074,0.000,31,5,0
greedy-cheapest,10.00,1,88.01,18.074,0.000,35,5,0
greedy-cheapest,10.50,1,96.65,14.821,0.000,38,5,0
greedy-cheapest,11.00,1,110.53,22.520,0.000,41,5,0
greedy-cheapest,11.50,1,114.25,11.892,11.393,42,5,0
greedy-cheapest,12.00,1,114.25,3.723,11.548,42,5,0
greedy-cheapest,12.50,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,13.00,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,13.50,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,14.00,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,14.50,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,15.00,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,15.50,1,116.71,2.458,11.650,43,5,0
greedy-cheapest,16.00,1,128.13,13.881,11.816,45,5,0
greedy-cheapest,16.50,1,138.76,22.050,11.981,48,5,0
greedy-cheapest,17.00,1,142.49,14.351,11.879,49,5,0
greedy-cheapest,17.50,1,151.92,13.157,11.829,51,5,0
greedy-cheapest,18.00,1,158.10,15.615,11.829,53,5,0
greedy-cheapest,18.50,1,173.72,18.074,11.879,57,5,0
greedy-cheapest,19.00,1,190.53,28.702,12.031,62,5,0
greedy-cheapest,19.50,1,204.15,27.978,12.682,66,5,0
greedy-cheapest,20.00,1,209.86,19.338,12.837,67,5,0
greedy-cheapest,20.50,1,216.05,11.892,12.463,69,5,0
greedy-cheapest,21.00,1,218.50,8.640,11.885,70,5,0
greedy-cheapest,21.50,2,56.05,20.002,11.965,74,5,2
greedy-cheapest,22.00,2,43.23,28.721,12.409,77,6,2
greedy-cheapest,22.50,2,26.44,18.513,12.563,79,7,2
greedy-cheapest,23.00,2,29.69,6.621,11.900,80,7,2
greedy-cheapest,23.50,2,28.98,-1.311,11.350,80,7,2
greedy-cheapest,24.00,2,31.99,2.412,11.296,81,7,2
greedy-cheapest,24.50,2,31.27,-1.311,11.241,81,7,2
greedy-cheapest,25.00,2,30.56,-1.311,11.186,81,7,2
greedy-cheapest,25.50,2,33.81,2.655,11.297,82,7,2
greedy-cheapest,26.00,2,33.09,2.655,11.408,82,7,2
greedy-cheapest,26.50,2,32.38,-1.311,11.353,82,7,2
greedy-cheapest,27.00,2,31.66,-1.311,11.298,82,7,2
greedy-cheapest,27.50,2,40.38,8.123,11.535,84,7,2
greedy-cheapest,28.00,2,20.55,17.006,11.665,87,8,2
greedy-cheapest,28.50,2,36.97,24.705,11.775,90,8,2
greedy-cheapest,29.00,2,38.71,18.281,11.939,91,8,2
greedy-cheapest,29.50,2,41.96,5.113,11.604,92,8,2
greedy-cheapest,30.00,2,29.05,22.464,11.889,95,9,2
greedy-cheapest,30.50,2,47.88,23.944,12.134,100,9,2
greedy-cheapest,31.00,2,33.94,36.054,12.440,104,10,2
greedy-cheapest,31.50,2,43.89,28.398,12.458,106,10,2
greedy-cheapest,32.00,2,21.80,23.978,12.651,109,11,2
greedy-cheapest,32.50,2,21.08,13.316,12.710,109,11,2
greedy-cheapest,33.00,2,43.38,21.703,13.255,113,11,2
greedy-cheapest,33.50,2,59.47,33.552,13.819,116,11,2
greedy-cheapest,34.00,2,22.47,8.836,12.991,117,12,2
greedy-cheapest,34.50,2,32.13,12.787,12.752,118,12,2
greedy-cheapest,35.00,2,42.08,19.725,13.298,120,12,2
greedy-cheapest,35.50,2,47.08,15.062,13.980,121,12,2
greedy-cheapest,36.00,2,46.36,4.400,14.063,121,12,2
greedy-cheapest,36.50,2,45.65,-1.311,14.063,121,12,2
greedy-cheapest,37.00,2,44.93,-1.311,14.063,121,12,2
greedy-cheapest,37.50,2,44.22,-1.311,13.898,121,12,2
greedy-cheapest,38.00,2,43.50,-1.311,13.733,121,12,2
greedy-cheapest,38.50,2,42.79,-1.311,13.733,121,12,2
greedy-cheapest,39.00,2,42.07,-1.311,13.733,121,12,2
greedy-cheapest,39.50,2,41.36,-1.311,13.339,121,12,2
greedy-cheapest,40.00,2,48.57,6.621,12.907,123,12,2
greedy-cheapest,40.50,2,69.89,28.650,13.071,127,12,2
greedy-cheapest,41.00,2,93.93,31.137,13.607,131,12,2
greedy-cheapest,41.50,2,110.35,40.581,15.085,134,12,2
greedy-cheapest,42.00,2,115.34,21.533,15.046,135,12,2
greedy-cheapest,42.50,2,142.79,32.558,15.405,139,12,2
greedy-cheapest,43.00,2,149.76,34.536,15.342,141,12,2
greedy-cheapest,43.50,2,164.37,21.703,15.063,143,12,2
greedy-cheapest,44.00,2,171.59,6.621,14.339,145,12,2
greedy-cheapest,44.50,2,194.65,30.395,15.051,149,12,2
greedy-cheapest,45.00,2,204.32,32.854,15.516,152,12,2
greedy-cheapest,45.50,2,230.78,36.253,15.628,156,12,2
greedy-cheapest,46.00,2,244.45,40.247,16.937,159,12,2
greedy-cheapest,46.50,2,255.11,24.448,17.423,162,12,2
greedy-cheapest,47.00,2,269.72,25.389,17.659,164,12,2
greedy-cheapest,47.50,2,269.00,14.014,17.615,164,12,2
greedy-cheapest,48.00,2,278.66,9.064,17.809,165,12,2
greedy-cheapest,48.50,2,277.95,-1.311,17.809,165,12,2
greedy-cheapest,49.00,2,277.23,-1.311,17.809,165,12,2
greedy-cheapest,49.50,2,276.52,-1.311,17.809,165,12,2
greedy-cheapest,50.00,2,275.80,-1.311,17.809,165,12,2
greedy-cheapest,50.50,2,275.09,-1.311,17.809,165,12,2
greedy-cheapest,51.00,2,274.37,-1.311,17.809,165,12,2
greedy-cheapest,51.50,2,283.34,8.366,18.213,167,12,2
greedy-cheapest,52.00,2,292.30,18.043,18.689,169,12,2
greedy-cheapest,52.50,2,320.02,36.804,19.028,173,12,2
greedy-cheapest,53.00,2,337.85,45.672,19.634,176,12,2
greedy-cheapest,53.50,2,339.59,19.692,18.764,177,12,2
greedy-cheapest,54.00,2,366.05,25.863,18.944,181,12,2
greedy-cheapest,54.50,2,376.47,26.620,18.697,184,12,2
greedy-cheapest,55.00,2,392.31,26.377,18.357,187,12,2
greedy-cheapest,55.50,2,411.92,31.850,18.779,192,12,2
greedy-cheapest,56.00,2,428.99,32.835,19.872,195,12,2
greedy-cheapest,56.50,2,428.28,16.473,19.292,195,12,2
greedy-cheapest,57.00,2,443.42,14.547,18.529,199,12,2
greedy-cheapest,57.50,2,454.36,26.202,18.110,202,12,2
greedy-cheapest,58.00,2,469.51,26.207,17.525,206,12,2
greedy-cheapest,58.50,2,489.54,35.302,17.977,208,12,2
greedy-cheapest,59.00,2,493.78,24.389,17.936,209,12,2
greedy-cheapest,59.50,2,493.06,3.639,17.503,209,12,2
greedy-cheapest,60.00,2,492.35,-1.311,17.071,209,12,2
greedy-cheapest,60.50,2,505.97,13.030,17.668,211,12,2
greedy-cheapest,61.00,2,510.97,8.366,18.072,212,12,2
greedy-cheapest,61.50,2,510.25,4.400,18.310,212,12,2
greedy-cheapest,62.00,2,509.54,-1.311,18.310,212,12,2
greedy-cheapest,62.50,2,508.82,-1.311,18.310,212,12,2
greedy-cheapest,63.00,2,508.11,-1.311,18.310,212,12,2
greedy-cheapest,63.50,2,517.77,9.064,18.339,213,12,2
greedy-cheapest,64.00,2,523.23,15.245,18.222,215,12,2
greedy-cheapest,64.50,2,539.40,21.751,17.595,219,12,2
greedy-cheapest,65.00,2,552.55,25.712,16.763,222,12,2
greedy-cheapest,65.50,2,562.21,22.930,16.898,223,12,2
greedy-cheapest,66.00,2,576.35,23.919,16.817,227,12,2
greedy-cheapest,66.50,2,589.28,23.463,16.686,230,12,2
greedy-cheapest,67.00,2,611.07,34.842,17.038,234,12,2
greedy-cheapest,67.50,2,634.13,39.263,17.347,238,12,2
greedy-cheapest,68.00,2,643.56,32.611,17.338,241,12,2
greedy-cheapest,68.50,2,649.27,15.261,17.287,243,12,2
greedy-cheapest,69.00,2,662.67,19.226,17.482,247,12,2
greedy-cheapest,69.50,2,682.72,29.601,17.624,251,12,2
greedy-cheapest,70.00,2,693.38,30.828,17.817,254,12,2
greedy-cheapest,70.50,2,704.56,21.956,17.261,257,12,2
greedy-cheapest,71.00,2,714.22,20.956,17.118,258,12,2
greedy-cheapest,71.50,2,726.62,22.184,17.890,261,12,2
greedy-cheapest,72.00,2,725.91,4.400,18.128,261,12,2
greedy-cheapest,72.50,2,725.19,-1.311,17.531,261,12,2
greedy-cheapest,73.00,2,724.48,-1.311,17.127,261,12,2
greedy-cheapest,73.50,2,723.76,-1.311,16.889,261,12,2
greedy-cheapest,74.00,2,723.05,-1.311,16.889,261,12,2
greedy-cheapest,74.50,2,722.33,-1.311,16.889,261,12,2
greedy-cheapest,75.00,2,731.29,8.366,17.293,263,12,2
greedy-cheapest,75.50,2,738.27,16.055,17.584,265,12,2
greedy-cheapest,76.00,2,748.18,17.006,17.657,268,12,2
greedy-cheapest,76.50,2,763.04,24.895,17.788,272,12,2
greedy-cheapest,77.00,2,781.44,33.378,18.108,276,12,2
greedy-cheapest,77.50,2,789.64,26.716,18.265,278,12,2
greedy-cheapest,78.00,2,791.39,10.064,17.688,279,12,2
greedy-cheapest,78.50,2,807.47,17.947,17.458,282,12,2
greedy-cheapest,79.00,2,821.11,29.844,17.250,286,12,2
greedy-cheapest,79.50,2,834.26,26.915,16.736,290,12,2
greedy-cheapest,80.00,2,852.37,27.657,16.529,295,12,2
greedy-cheapest,80.50,2,854.11,8.836,16.262,296,12,2
greedy-cheapest,81.00,2,883.58,31.331,16.766,300,12,2
greedy-cheapest,81.50,2,893.53,33.823,16.942,302,12,2
greedy-cheapest,82.00,2,910.40,26.940,16.780,306,12,2
greedy-cheapest,82.50,2,120.06,22.687,16.810,307,12,2
greedy-cheapest,83.00,3,92.61,14.331,16.534,308,12,4
greedy-cheapest,83.50,3,91.31,3.371,15.750,308,12,4
greedy-cheapest,84.00,3,58.25,21.849,16.477,311,13,4
greedy-cheapest,84.50,3,56.95,14.974,17.156,311,13,4
greedy-cheapest,85.00,3,73.74,15.713,17.865,312,13,4
greedy-cheapest,85.50,3,72.44,15.713,18.575,312,13,4
greedy-cheapest,86.00,3,71.14,-2.383,18.530,312,13,4
greedy-cheapest,86.50,3,69.84,-2.383,18.485,312,13,4
greedy-cheapest,87.00,3,68.54,-2.383,18.037,312,13,4
greedy-cheapest,87.50,3,72.95,3.328,17.507,313,13,4
greedy-cheapest,88.00,3,87.74,19.413,17.607,315,13,4
greedy-cheapest,88.50,3,107.00,28.546,17.759,317,13,4
greedy-cheapest,89.00,3,51.34,33.813,17.778,319,14,4
greedy-cheapest,89.50,3,65.21,28.436,17.849,322,14,4
greedy-cheapest,90.00,3,82.45,31.326,18.735,323,14,4
greedy-cheapest,90.50,3,103.42,38.425,19.588,327,14,4
greedy-cheapest,91.00,3,68.25,48.165,20.352,331,15,4
greedy-cheapest,91.50,3,77.67,44.467,21.083,332,15,4
greedy-cheapest,92.00,3,81.43,13.402,20.489,333,15,4
greedy-cheapest,92.50,3,99.22,21.762,21.028,336,15,4
greedy-cheapest,93.00,3,123.31,42.096,21.476,339,15,4
greedy-cheapest,93.50,3,59.73,44.730,21.931,341,16,4
greedy-cheapest,94.00,3,87.69,48.595,22.833,343,16,4
greedy-cheapest,94.50,3,105.98,46.465,23.824,346,16,4
greedy-cheapest,95.00,3,121.25,33.780,24.634,348,16,4
greedy-cheapest,95.50,3,126.97,21.202,25.377,349,16,4
greedy-cheapest,96.00,3,46.20,23.160,25.432,350,17,4
greedy-cheapest,96.50,3,50.74,21.996,25.724,351,17,4
greedy-cheapest,97.00,3,49.44,-2.383,24.970,351,17,4
greedy-cheapest,97.50,3,48.14,-2.383,24.216,351,17,4
greedy-cheapest,98.00,3,46.84,-2.383,24.216,351,17,4
greedy-cheapest,98.50,3,56.27,8.343,24.663,352,17,4
greedy-cheapest,99.00,3,70.84,13.490,25.325,353,17,4
greedy-cheapest,99.50,3,89.82,33.761,26.593,356,17,4
greedy-cheapest,100.00,3,99.24,24.810,26.818,357,17,4
greedy-cheapest,100.50,3,120.04,19.720,26.450,361,17,4
greedy-cheapest,101.00,3,122.55,23.524,26.021,362,17,4
greedy-cheapest,101.50,3,121.25,1.421,24.895,362,17,4
greedy-cheapest,102.00,3,58.09,33.756,24.997,366,18,4
greedy-cheapest,102.50,3,67.41,44.376,25.245,367,18,4
greedy-cheapest,103.00,3,101.01,43.135,25.035,371,18,4
greedy-cheapest,103.50,3,104.77,30.562,24.456,372,18,4
greedy-cheapest,104.00,3,140.02,39.229,25.532,376,18,4
greedy-cheapest,104.50,3,145.73,41.182,26.341,377,18,4
greedy-cheapest,105.00,3,152.28,12.480,25.107,379,18,4
greedy-cheapest,105.50,3,65.05,42.533,25.015,381,19,4
greedy-cheapest,106.00,3,71.32,42.253,24.751,383,19,4
greedy-cheapest,106.50,3,79.67,12.328,23.329,385,19,4
greedy-cheapest,107.00,3,104.97,30.063,23.174,387,19,4
greedy-cheapest,107.50,3,128.71,49.260,24.343,390,19,4
greedy-cheapest,108.00,3,138.14,22.767,24.327,391,19,4
greedy-cheapest,108.50,3,163.44,34.942,24.866,393,19,4
greedy-cheapest,109.00,3,165.94,12.148,25.472,394,19,4
greedy-cheapest,109.50,3,40.52,17.294,26.291,395,20,4
greedy-cheapest,110.00,3,39.22,-2.383,26.291,395,20,4
greedy-cheapest,110.50,3,37.92,-2.383,25.844,395,20,4
greedy-cheapest,111.00,3,36.62,-2.383,25.183,395,20,4
greedy-cheapest,111.50,3,35.32,-2.383,23.677,395,20,4
greedy-cheapest,112.00,3,48.21,11.813,23.136,397,20,4
greedy-cheapest,112.50,3,59.58,24.481,23.334,400,20,4
greedy-cheapest,113.00,3,62.09,14.090,22.941,401,20,4
greedy-cheapest,113.50,3,85.80,22.629,23.824,405,20,4
greedy-cheapest,114.00,3,84.50,22.629,23.361,405,20,4
greedy-cheapest,114.50,3,108.12,22.539,22.451,408,20,4
greedy-cheapest,115.00,3,129.71,45.424,22.546,410,20,4
greedy-cheapest,115.50,3,146.94,39.033,22.899,411,20,4
greedy-cheapest,116.00,3,76.23,58.744,23.712,415,21,4
greedy-cheapest,116.50,3,89.71,54.985,24.288,417,21,4
greedy-cheapest,117.00,3,92.45,16.438,24.452,418,21,4
greedy-cheapest,117.50,3,129.49,39.996,24.347,422,21,4
greedy-cheapest,118.00,3,156.87,60.825,25.121,424,21,4
greedy-cheapest,118.50,3,155.57,26.297,25.703,424,21,4
greedy-cheapest,119.00,3,173.72,17.067,25.161,428,21,4
greedy-cheapest,119.50,3,190.15,29.779,24.349,430,21,4
greedy-cheapest,120.00,3,188.85,15.355,24.041,430,21,4
greedy-cheapest,120.50,3,55.21,19.273,23.388,432,22,4
greedy-cheapest,121.00,3,53.91,8.547,23.238,432,22,4
greedy-cheapest,121.50,3,52.61,-2.383,22.418,432,22,4
greedy-cheapest,122.00,3,51.31,-2.383,22.418,432,22,4
greedy-cheapest,122.50,3,50.01,-2.383,22.418,432,22,4
greedy-cheapest,123.00,3,59.82,8.727,22.881,434,22,4
greedy-cheapest,123.50,3,65.65,15.852,23.641,435,22,4
greedy-cheapest,124.00,3,71.47,11.867,23.643,436,22,4
greedy-cheapest,124.50,3,96.44,31.008,23.915,439,22,4
greedy-cheapest,125.00,3,97.70,4.290,23.506,440,22,4
greedy-cheapest,125.50,3,128.78,32.556,23.920,442,22,4
greedy-cheapest,126.00,3,152.19,38.516,24.582,445,22,4
greedy-cheapest,126.50,3,172.95,28.200,24.818,448,22,4
greedy-cheapest,127.00,3,192.16,36.073,24.428,451,22,4
greedy-cheapest,127.50,3,54.81,36.073,24.305,453,23,4
greedy-cheapest,128.00,3,74.88,26.117,22.946,456,23,4
greedy-cheapest,128.50,3,87.38,18.541,21.427,459,23,4
greedy-cheapest,129.00,3,100.28,25.618,21.810,461,23,4
greedy-cheapest,129.50,3,119.20,28.157,21.316,464,23,4
greedy-cheapest,130.00,3,141.94,41.872,20.527,466,23,4
greedy-cheapest,130.50,3,175.01,37.141,20.978,469,23,4
greedy-cheapest,131.00,3,194.12,52.397,22.450,472,23,4
greedy-cheapest,131.50,3,203.75,28.953,22.416,473,23,4
greedy-cheapest,132.00,3,202.45,8.547,22.132,473,23,4
greedy-cheapest,132.50,3,211.98,8.440,21.681,474,23,4
greedy-cheapest,133.00,3,210.68,8.440,21.677,474,23,4
greedy-cheapest,133.50,3,209.38,-2.383,21.677,474,23,4
greedy-cheapest,134.00,3,208.08,-2.383,21.677,474,23,4
greedy-cheapest,134.50,3,217.60,8.440,22.128,475,23,4
greedy-cheapest,135.00,3,223.42,4.742,21.962,476,23,4
greedy-cheapest,135.50,3,222.12,4.742,21.499,476,23,4
greedy-cheapest,136.00,3,48.71,10.505,21.442,478,24,4
greedy-cheapest,136.50,3,65.36,28.454,21.335,480,24,4
greedy-cheapest,137.00,3,80.25,31.756,22.480,481,24,4
greedy-cheapest,137.50,3,106.24,24.905,22.161,485,24,4
greedy-cheapest,138.00,3,110.09,30.055,21.808,486,24,4
greedy-cheapest,138.50,3,147.88,41.857,22.378,490,24,4
greedy-cheapest,139.00,3,161.38,51.510,23.021,492,24,4
greedy-cheapest,139.50,3,180.10,32.433,22.869,495,24,4
greedy-cheapest,140.00,3,200.14,38.970,23.405,497,24,4
greedy-cheapest,140.50,3,209.95,30.067,23.885,499,24,4
greedy-cheapest,141.00,3,43.71,22.830,23.769,501,25,4
greedy-cheapest,141.50,3,60.73,35.998,24.095,504,25,4
greedy-cheapest,142.00,3,71.70,28.210,23.526,506,25,4
greedy-cheapest,142.50,3,102.68,35.043,23.439,509,25,4
greedy-cheapest,143.00,3,128.28,43.416,23.064,512,25,4
greedy-cheapest,143.50,3,143.18,40.711,23.554,513,25,4
greedy-cheapest,144.00,3,152.87,24.805,24.232,515,25,4
greedy-cheapest,144.50,3,157.53,14.575,24.487,516,25,4
greedy-cheapest,145.00,3,156.23,3.577,24.285,516,25,4
greedy-cheapest,145.50,3,154.93,-2.383,24.285,516,25,4
greedy-cheapest,146.00,3,153.63,-2.383,24.285,516,25,4
greedy-cheapest,146.50,3,152.33,-2.383,23.834,516,25,4
greedy-cheapest,147.00,3,151.03,-2.383,23.537,516,25,4
greedy-cheapest,147.50,3,165.21,13.096,23.885,518,25,4
greedy-cheapest,148.00,3,175.74,24.920,24.486,521,25,4
greedy-cheapest,148.50,3,192.39,27.389,24.441,523,25,4
greedy-cheapest,149.00,3,44.14,53.617,25.352,526,26,4
greedy-cheapest,149.50,3,53.77,35.668,25.801,527,26,4
greedy-cheapest,150.00,3,84.63,40.711,26.245,530,26,4
greedy-cheapest,150.50,3,94.16,40.604,26.192,531,26,4
greedy-cheapest,151.00,3,117.56,22.326,24.976,534,26,4
greedy-cheapest,151.50,3,127.09,33.150,25.006,535,26,4
greedy-cheapest,152.00,3,180.36,63.014,26.008,539,26,4
greedy-cheapest,152.50,3,189.36,56.530,27.111,541,26,4
greedy-cheapest,153.00,3,215.08,34.931,27.615,543,26,4
greedy-cheapest,153.50,3,72.09,67.942,28.946,546,27,4
greedy-cheapest,154.00,3,86.87,57.008,30.146,548,27,4
greedy-cheapest,154.50,3,122.52,45.498,30.581,551,27,4
greedy-cheapest,155.00,3,149.51,33.034,30.149,555,27,4
greedy-cheapest,155.50,3,186.00,61.140,31.000,557,27,4
greedy-cheapest,156.00,3,184.70,35.406,31.442,557,27,4
greedy-cheapest,156.50,3,193.73,7.947,31.166,558,27,4
greedy-cheapest,157.00,3,222.15,37.665,32.586,560,27,4
greedy-cheapest,157.50,3,220.85,8.440,33.037,560,27,4
greedy-cheapest,158.00,3,219.55,-2.383,33.037,560,27,4
greedy-cheapest,158.50,3,218.25,-2.383,33.037,560,27,4
greedy-cheapest,159.00,3,227.28,7.947,33.467,561,27,4
greedy-cheapest,159.50,3,225.98,7.947,33.253,561,27,4
greedy-cheapest,160.00,3,40.94,29.875,33.459,565,28,4
greedy-cheapest,160.50,3,64.96,55.201,34.618,568,28,4
greedy-cheapest,161.00,3,85.31,44.590,34.242,570,28,4
greedy-cheapest,161.50,3,115.78,51.035,34.882,574,28,4
greedy-cheapest,162.00,3,138.38,48.136,35.192,577,28,4
greedy-cheapest,162.50,3,153.27,37.706,35.071,578,28,4
greedy-cheapest,163.00,3,191.52,37.168,35.689,582,28,4
greedy-cheapest,163.50,3,208.79,55.738,36.630,585,28,4
greedy-cheapest,164.00,3,214.62,23.311,34.976,586,28,4
greedy-cheapest,164.50,3,40.52,47.949,34.619,590,29,4
greedy-cheapest,165.00,3,67.38,66.426,35.931,593,29,4
greedy-cheapest,165.50,3,75.35,35.042,34.560,595,29,4
greedy-cheapest,166.00,3,92.94,21.661,33.087,596,29,4
greedy-cheapest,166.50,3,131.66,56.530,33.547,600,29,4
greedy-cheapest,167.00,3,168.97,65.944,34.918,604,29,4
greedy-cheapest,167.50,3,178.00,46.556,34.310,605,29,4
greedy-cheapest,168.00,3,176.70,7.947,33.166,605,29,4
greedy-cheapest,168.50,3,175.40,-2.383,32.736,605,29,4
greedy-cheapest,169.00,3,174.10,-2.383,31.067,605,29,4
greedy-cheapest,169.50,3,172.80,-2.383,30.616,605,29,4
greedy-cheapest,170.00,3,171.50,-2.383,30.616,605,29,4
greedy-cheapest,170.50,3,170.20,-2.383,30.616,605,29,4
greedy-cheapest,171.00,3,176.03,4.742,30.483,606,29,4
greedy-cheapest,171.50,3,199.58,29.597,31.385,608,29,4
greedy-cheapest,172.00,3,244.36,49.660,32.209,612,29,4
greedy-cheapest,172.50,3,257.54,51.054,32.036,615,29,4
greedy-cheapest,173.00,3,267.82,23.677,31.165,618,29,4
greedy-cheapest,173.50,3,273.65,13.764,29.612,619,29,4
greedy-cheapest,174.00,3,298.16,23.426,28.583,622,29,4
greedy-cheapest,174.50,3,313.05,39.617,28.662,623,29,4
greedy-cheapest,175.00,3,354.74,56.795,29.480,627,29,4
greedy-cheapest,175.50,3,372.19,48.529,29.180,629,29,4
greedy-cheapest,176.00,3,393.06,38.536,29.814,632,29,4
greedy-cheapest,176.50,3,395.87,19.788,28.641,633,29,4
greedy-cheapest,177.00,3,427.02,30.068,27.126,637,29,4
greedy-cheapest,177.50,3,440.53,44.871,27.535,639,29,4
greedy-cheapest,178.00,3,475.18,48.377,28.648,643,29,4
greedy-cheapest,178.50,3,473.88,33.574,27.692,643,29,4
greedy-cheapest,179.00,3,530.68,55.712,27.266,647,29,4
greedy-cheapest,179.50,3,552.69,60.133,27.831,649,29,4
greedy-cheapest,180.00,3,553.95,23.491,28.479,650,29,4
greedy-cheapest,180.50,3,552.65,0.175,28.586,650,29,4
greedy-cheapest,181.00,3,551.35,-2.383,28.586,650,29,4
greedy-cheapest,181.50,3,555.20,2.767,28.800,651,29,4
greedy-cheapest,182.00,3,553.90,-2.383,28.800,651,29,4
greedy-cheapest,182.50,3,560.59,5.605,29.133,653,29,4
greedy-cheapest,183.00,3,566.42,8.614,29.294,654,29,4
greedy-cheapest,183.50,3,574.80,14.425,28.662,656,29,4
greedy-cheapest,184.00,3,595.43,29.228,27.811,659,29,4
greedy-cheapest,184.50,3,608.93,34.348,27.115,661,29,4
greedy-cheapest,185.00,3,647.68,52.468,28.314,664,29,4
greedy-cheapest,185.50,3,683.69,53.825,29.984,668,29,4
greedy-cheapest,186.00,3,703.05,55.591,31.324,670,29,4
greedy-cheapest,186.50,3,712.05,28.576,30.864,672,29,4
greedy-cheapest,187.00,3,728.95,20.969,29.371,676,29,4
greedy-cheapest,187.50,3,734.78,22.944,28.305,677,29,4
greedy-cheapest,188.00,3,765.76,37.019,28.242,680,29,4
greedy-cheapest,188.50,3,809.62,56.160,29.757,684,29,4
greedy-cheapest,189.00,3,834.73,69.188,31.387,687,29,4
greedy-cheapest,189.50,3,849.62,40.217,31.193,688,29,4
greedy-cheapest,190.00,3,868.17,33.653,30.580,691,29,4
greedy-cheapest,190.50,3,873.99,19.438,29.991,692,29,4
greedy-cheapest,191.00,3,913.41,38.340,29.267,696,29,4
greedy-cheapest,191.50,3,921.95,37.843,28.338,698,29,4
greedy-cheapest,192.00,3,955.73,42.535,29.132,700,29,4
greedy-cheapest,192.50,3,969.37,47.641,31.110,702,29,4
greedy-cheapest,193.00,3,973.22,17.706,31.947,703,29,4
greedy-cheapest,193.50,3,971.92,2.767,31.947,703,29,4
greedy-cheapest,194.00,3,970.62,-2.383,31.947,703,29,4
greedy-cheapest,194.50,3,971.88,0.175,31.720,704,29,4
greedy-cheapest,195.00,3,992.73,22.326,32.292,706,29,4
greedy-cheapest,195.50,3,1010.33,38.662,33.302,707,29,4
greedy-cheapest,196.00,3,1036.15,43.637,33.902,710,29,4
greedy-cheapest,196.50,3,1053.75,43.637,34.289,711,29,4
greedy-cheapest,197.00,3,1097.75,61.817,34.678,715,29,4
greedy-cheapest,197.50,3,1112.64,40.217,34.111,716,29,4
greedy-cheapest,198.00,3,1131.55,34.018,33.213,719,29,4
greedy-cheapest,198.50,3,1134.12,15.740,32.678,720,29,4
greedy-cheapest,199.00,3,1159.32,27.983,32.970,724,29,4
greedy-cheapest,199.50,3,1158.02,7.920,32.344,724,29,4
greedy-cheapest,200.00,3,1178.05,18.944,31.591,727,29,4
greedy-cheapest,200.50,3,1236.18,74.509,32.355,731,29,4
greedy-cheapest,201.00,3,1251.77,55.050,31.766,733,29,4
greedy-cheapest,201.50,3,1263.96,27.996,31.257,735,29,4
greedy-cheapest,202.00,3,1297.75,46.191,31.780,737,29,4
greedy-cheapest,202.50,3,1345.74,65.799,33.711,741,29,4
greedy-cheapest,203.00,3,1359.92,46.194,34.039,743,29,4
greedy-cheapest,203.50,3,1380.44,34.918,33.917,746,29,4
greedy-cheapest,204.00,3,1418.05,58.346,34.575,750,29,4
greedy-cheapest,204.50,3,1416.75,36.525,34.112,750,29,4
greedy-cheapest,205.00,3,1426.69,8.857,33.744,752,29,4
greedy-cheapest,205.50,3,1436.21,19.681,34.448,753,29,4
greedy-cheapest,206.00,3,1434.91,-2.383,34.448,753,29,4
greedy-cheapest,206.50,3,1433.61,-2.383,34.342,753,29,4
greedy-cheapest,207.00,3,1432.31,-2.383,33.312,753,29,4
greedy-cheapest,207.50,3,1431.01,-2.383,31.602,753,29,4
greedy-cheapest,208.00,3,1458.76,26.670,30.895,757,29,4
greedy-cheapest,208.50,3,1474.92,29.322,30.299,759,29,4
greedy-cheapest,209.00,3,1486.70,28.157,28.896,761,29,4
greedy-cheapest,209.50,3,1520.05,39.384,28.861,765,29,4
